timestamp,focus_score,blink_rate_per_min,au4_frown,au12_smile,au6_cheek_raise,au23_lip_compression,psych_signal_tension_score,emotion,micro_expressions
1768888611.6815557,0.8,0.0,0.332,1.0,0.406,0.596,0.27572882558135076,happy (0.49),{}
1768888611.7522452,0.8,0.0,0.37,1.0,0.399,0.598,0.2818946557719072,happy (0.48),{}
1768888611.785389,0.8,0.0,0.361,1.0,0.399,0.61,0.28196500077281544,happy (0.48),{}
1768888611.8411016,0.8,0.0,0.362,1.0,0.398,0.598,0.27193721492962886,happy (0.48),{}
1768888611.872572,0.8,0.0,0.356,1.0,0.403,0.621,0.281037241993535,happy (0.48),{}
1768888611.9046104,0.8,0.0,0.365,1.0,0.394,0.609,0.27656043949212034,happy (0.47),{}
1768888611.9516315,0.8,0.0,0.358,1.0,0.402,0.609,0.2766488480209438,happy (0.48),{}
1768888611.975966,0.8,0.0,0.366,1.0,0.395,0.601,0.2769533242478786,happy (0.47),{}
1768888612.0210798,0.8,0.0,0.359,1.0,0.408,0.609,0.28076692312895946,happy (0.49),{}
1768888612.0654337,0.8,0.0,0.377,1.0,0.396,0.587,0.27792668643098745,happy (0.48),{}
1768888612.1009452,0.8,0.0,0.379,1.0,0.394,0.603,0.2819951798987096,happy (0.47),{}
1768888612.1246233,0.8,0.0,0.376,1.0,0.394,0.597,0.2785545258633857,happy (0.47),{}
1768888612.1456206,0.8,0.0,0.373,1.0,0.399,0.605,0.28091747262792943,happy (0.48),{}
1768888612.1650908,0.8,0.0,0.384,1.0,0.382,0.606,0.2878037355999462,happy (0.46),{}
1768888612.193615,0.8,0.0,0.378,1.0,0.394,0.62,0.2865180453935189,happy (0.47),{}
1768888612.2148254,0.8,0.0,0.363,1.0,0.398,0.604,0.27444280464603044,happy (0.48),{}
1768888612.2368343,0.8,0.0,0.369,1.0,0.388,0.604,0.2775993251512325,happy (0.47),{}
1768888612.267247,0.8,0.0,0.363,1.0,0.386,0.632,0.28106800298756696,happy (0.46),{}
1768888612.3279386,0.8,0.0,0.37,1.0,0.372,0.645,0.28879451126838357,happy (0.45),{}
1768888612.3726695,0.8,0.0,0.365,1.0,0.366,0.663,0.29121242785171336,happy (0.44),{}
1768888612.3971846,0.8,0.0,0.371,1.0,0.366,0.681,0.29964569235174876,happy (0.44),{}
1768888612.42305,0.8,0.0,0.355,1.0,0.368,0.693,0.2973340215424323,happy (0.44),{}
1768888612.4672868,0.8,0.0,0.37,1.0,0.362,0.716,0.3086972892105805,happy (0.43),{}
1768888612.4955926,0.8,0.0,0.375,1.0,0.362,0.711,0.31131413172514644,happy (0.43),{}
1768888612.5183473,0.8,0.0,0.364,1.0,0.355,0.712,0.30520859008682755,happy (0.43),{}
1768888612.5489037,0.8,0.0,0.378,1.0,0.351,0.73,0.3175154243749523,happy (0.42),{}
1768888612.574431,0.8,0.0,0.379,1.0,0.345,0.73,0.3162874971304762,happy (0.41),{}
1768888612.612624,0.8,0.0,0.387,1.0,0.346,0.74,0.320937409669939,happy (0.42),{}
1768888612.641597,0.8,0.0,0.39,1.0,0.349,0.744,0.323705606963802,happy (0.42),{}
1768888612.6713552,0.8,0.0,0.395,1.0,0.352,0.738,0.3256490677371529,happy (0.42),{}
1768888612.699348,0.8,0.0,0.387,1.0,0.356,0.768,0.3335926659027678,happy (0.43),{}
1768888612.75634,0.8,0.0,0.397,1.0,0.347,0.799,0.35028366538878764,happy (0.42),"{'au23_lip_compression': {'intensity': 0.799, 'duration_frames': 2, 'onset_frame': 13}, 'gaze_asymmetry': {'intensity': 0.316, 'duration_frames': 1, 'onset_frame': 14}}"
1768888612.792084,0.8,0.0,0.4,1.0,0.356,0.803,0.337208749356421,happy (0.43),{}
1768888612.823982,0.8,0.0,0.399,1.0,0.361,0.81,0.3464558492161138,happy (0.43),{}
1768888612.8449824,0.8,0.0,0.391,1.0,0.356,0.807,0.34533211459576113,happy (0.43),{}
1768888612.8749003,0.8,0.0,0.398,1.0,0.36,0.827,0.35105719005864405,happy (0.43),{}
1768888612.9078994,0.8,0.0,0.4,1.0,0.367,0.821,0.3521849849371323,happy (0.44),{}
1768888612.9348996,0.8,0.0,0.406,1.0,0.37,0.811,0.35081016425643324,happy (0.44),{}
1768888612.9751933,0.8,0.0,0.401,1.0,0.365,0.804,0.34908941284459133,happy (0.44),{}
1768888613.0059526,0.8,0.0,0.39,1.0,0.371,0.788,0.34641110858164464,happy (0.45),{}
1768888613.0349386,0.8,0.0,0.383,1.0,0.376,0.728,0.3250861282494305,happy (0.45),{}
1768888613.0649467,0.8,0.0,0.377,1.0,0.383,0.696,0.30617518497096335,happy (0.46),{}
1768888613.1053138,0.8,0.0,0.358,1.0,0.389,0.635,0.28540339848937096,happy (0.47),{}
1768888613.134094,0.8,0.0,0.372,1.0,0.385,0.629,0.29309786840416524,happy (0.46),{}
1768888613.1877077,0.8,0.0,0.361,1.0,0.384,0.62,0.2860620427438732,happy (0.46),{}
1768888613.219753,0.8,0.0,0.38,1.0,0.359,0.404,0.23793485268779807,happy (0.43),{}
1768888613.2457068,0.8,0.0,0.39,1.0,0.303,0.261,0.19827872236206573,happy (0.36),{}
1768888613.2832181,0.8,0.0,0.397,1.0,0.301,0.195,0.1880652862311012,happy (0.36),{}
1768888613.3072202,0.8,0.0,0.397,1.0,0.285,0.105,0.16712249857435088,happy (0.34),{}
1768888613.3434112,0.8,0.0,0.393,1.0,0.29,0.071,0.15379668477539485,happy (0.35),{}
1768888613.376929,0.8,0.0,0.391,1.0,0.296,-0.013,0.1325539919242713,happy (0.36),{}
1768888613.4029315,0.8,0.0,0.392,1.0,0.316,-0.008,0.13900183788641582,happy (0.38),{}
1768888613.4379287,0.8,0.0,0.388,1.0,0.32,-0.021,0.1259510358150437,happy (0.38),{}
1768888613.4714375,0.8,0.0,0.396,1.0,0.33,-0.011,0.1290081476939564,happy (0.40),{}
1768888613.4994888,0.8,0.0,0.392,1.0,0.335,-0.021,0.1284917408573481,happy (0.40),{}
1768888613.5364892,0.8,0.0,0.393,1.0,0.328,-0.026,0.1281179338572937,happy (0.39),{}
1768888613.5880375,0.8,0.0,0.39,1.0,0.328,0.01,0.13661026681946328,happy (0.39),{}
1768888613.6210377,0.8,0.0,0.393,1.0,0.319,0.118,0.16183048540317457,happy (0.38),{}
1768888613.657722,0.8,0.0,0.388,1.0,0.297,0.291,0.20009878945679554,happy (0.36),"{'au23_lip_compression': {'intensity': 0.62, 'duration_frames': 1, 'onset_frame': 14}}"
1768888613.6867025,0.8,0.0,0.38,1.0,0.308,0.518,0.2577855295795219,happy (0.37),"{'au23_lip_compression': {'intensity': 0.518, 'duration_frames': 2, 'onset_frame': 13}}"
1768888613.7168958,0.8,0.0,0.376,1.0,0.335,0.681,0.2933218005429768,happy (0.40),"{'au23_lip_compression': {'intensity': 0.681, 'duration_frames': 3, 'onset_frame': 12}}"
1768888613.7383716,0.8,0.0,0.376,1.0,0.345,0.739,0.31303294919568864,happy (0.41),"{'au23_lip_compression': {'intensity': 0.739, 'duration_frames': 4, 'onset_frame': 11}}"
1768888613.7788897,0.8,0.0,0.38,1.0,0.354,0.77,0.31883392681683914,happy (0.42),"{'au23_lip_compression': {'intensity': 0.77, 'duration_frames': 5, 'onset_frame': 10}}"
1768888613.8119092,0.8,0.0,0.373,1.0,0.354,0.782,0.320186000056915,happy (0.42),"{'au23_lip_compression': {'intensity': 0.782, 'duration_frames': 7, 'onset_frame': 8}}"
1768888613.8319592,0.8,0.0,0.381,1.0,0.351,0.776,0.32534139353202196,happy (0.42),{}
1768888613.863429,0.8,0.0,0.392,1.0,0.344,0.79,0.33474451965038643,happy (0.41),{}
1768888613.9008677,0.8,0.0,0.386,1.0,0.348,0.788,0.3277330519321882,happy (0.42),{}
1768888613.93814,0.8,0.0,0.387,1.0,0.347,0.798,0.33217521843504405,happy (0.42),{}
1768888613.9601398,0.8,0.0,0.396,1.0,0.352,0.803,0.3426972841396591,happy (0.42),{}
1768888614.051072,0.8,0.0,0.401,1.0,0.346,0.816,0.34098073769342807,happy (0.42),{}
1768888614.0783868,0.8,0.0,0.401,1.0,0.342,0.827,0.3476119129190268,happy (0.41),{}
1768888614.098353,0.8,0.0,0.41,1.0,0.343,0.829,0.34445483429141904,happy (0.41),{}
1768888614.1150491,0.8,0.0,0.397,1.0,0.343,0.821,0.3390599781401902,happy (0.41),{}
1768888614.135339,0.8,0.0,0.398,1.0,0.345,0.824,0.346794671616574,happy (0.41),{}
1768888614.1768384,0.8,0.0,0.397,1.0,0.342,0.804,0.3381198792282523,happy (0.41),{}
1768888614.1991506,0.8,0.0,0.385,1.0,0.334,0.748,0.32232262814428464,happy (0.40),{}
1768888614.2347794,0.8,0.0,0.392,1.0,0.327,0.654,0.3018083267820599,happy (0.39),{}
1768888614.2635007,0.8,0.0,0.393,1.0,0.314,0.478,0.25203174352416546,happy (0.38),{}
1768888614.2973769,0.8,0.0,0.4,1.0,0.317,0.429,0.23988643329690704,happy (0.38),{}
1768888614.327516,0.8,0.0,0.408,1.0,0.314,0.408,0.23500680574285188,happy (0.38),{}
1768888614.358916,0.8,0.0,0.409,1.0,0.313,0.397,0.23890485308183623,happy (0.38),{}
1768888614.4556344,0.8,0.0,0.41,1.0,0.312,0.381,0.2375159506122981,happy (0.37),{}
1768888614.490719,0.8,0.0,0.404,1.0,0.306,0.392,0.23776263650533702,happy (0.37),{}
1768888614.5137198,0.8,0.0,0.404,1.0,0.307,0.395,0.23900476466034937,happy (0.37),{}
1768888614.5347183,0.8,0.0,0.401,1.0,0.307,0.388,0.23479383484836375,happy (0.37),{}
1768888614.5670824,0.8,0.0,0.397,1.0,0.316,0.396,0.23680448703777626,happy (0.38),{}
1768888614.5905857,0.8,0.0,0.396,1.0,0.31,0.393,0.23781694587407595,happy (0.37),{}
1768888614.6117487,0.8,0.0,0.393,1.0,0.306,0.397,0.23673876526457066,happy (0.37),{}
1768888614.6468906,0.8,0.0,0.394,1.0,0.304,0.396,0.23824961732150846,happy (0.36),{}
1768888614.670892,0.8,0.0,0.391,1.0,0.304,0.401,0.23796005465564252,happy (0.36),{}
1768888614.7110412,0.8,0.0,0.388,1.0,0.309,0.439,0.24848149528560878,happy (0.37),{}
1768888614.7413888,0.8,0.0,0.379,1.0,0.32,0.419,0.23961480718745834,happy (0.38),{}
1768888614.7633927,0.8,0.0,0.372,1.0,0.36,0.304,0.2049295238659976,happy (0.43),{}
1768888614.8380759,0.8,0.0,0.376,1.0,0.387,0.299,0.20357355469867752,happy (0.46),{}
1768888614.8968036,0.8,0.0,0.368,1.0,0.359,0.392,0.22063940453246028,happy (0.43),{}
1768888614.9282768,0.8,0.0,0.369,1.0,0.36,0.401,0.22546087297645234,happy (0.43),{}
1768888614.9526927,0.8,0.0,0.374,1.0,0.352,0.525,0.2577143975036518,happy (0.42),{}
1768888614.9708722,0.8,0.0,0.374,1.0,0.359,0.595,0.27644541667962297,happy (0.43),"{'au23_lip_compression': {'intensity': 0.595, 'duration_frames': 2, 'onset_frame': 13}}"
1768888614.998394,0.8,0.0,0.37,1.0,0.368,0.615,0.2800693986746109,happy (0.44),"{'au23_lip_compression': {'intensity': 0.615, 'duration_frames': 3, 'onset_frame': 12}}"
1768888615.0233736,0.8,0.0,0.373,1.0,0.381,0.63,0.2870208949510039,happy (0.46),"{'au23_lip_compression': {'intensity': 0.63, 'duration_frames': 4, 'onset_frame': 11}}"
1768888615.0443757,0.8,0.0,0.372,1.0,0.381,0.63,0.28652607959947884,happy (0.46),"{'au23_lip_compression': {'intensity': 0.63, 'duration_frames': 5, 'onset_frame': 10}}"
1768888615.0673752,0.8,0.0,0.368,1.0,0.38,0.625,0.28292379663650713,happy (0.46),"{'au23_lip_compression': {'intensity': 0.63, 'duration_frames': 6, 'onset_frame': 9}}"
1768888615.1152153,0.8,0.0,0.376,1.0,0.379,0.629,0.2851997526422484,happy (0.45),"{'au23_lip_compression': {'intensity': 0.63, 'duration_frames': 7, 'onset_frame': 8}}"
1768888615.151071,0.8,0.0,0.375,1.0,0.38,0.621,0.2850365830274134,happy (0.46),{}
1768888615.198578,0.8,0.0,0.379,1.0,0.368,0.525,0.26246897623443116,happy (0.44),{}
1768888615.2271593,0.8,0.0,0.393,1.0,0.334,0.422,0.2453906978978862,happy (0.40),{}
1768888615.2858477,0.8,0.0,0.402,1.0,0.32,0.381,0.2396593643291561,happy (0.38),{}
1768888615.324942,0.8,0.0,0.416,1.0,0.312,0.383,0.23904725226764267,happy (0.37),{}
1768888615.351405,0.8,0.0,0.416,1.0,0.313,0.347,0.23212839873896637,happy (0.38),"{'au23_lip_compression': {'intensity': 0.63, 'duration_frames': 7, 'onset_frame': 8}}"
1768888615.3717377,0.8,0.0,0.41,1.0,0.303,0.386,0.24170544460944354,happy (0.36),{}
1768888615.3962529,0.8,0.0,0.411,1.0,0.305,0.377,0.2386094990433148,happy (0.37),{}
1768888615.427253,0.8,0.0,0.401,1.0,0.302,0.382,0.24092080117443937,happy (0.36),{}
1768888615.4543507,0.8,0.0,0.402,1.0,0.295,0.369,0.23472120217128842,happy (0.35),{}
1768888615.4922888,0.8,0.0,0.4,1.0,0.302,0.37,0.2345594142776007,happy (0.36),{}
1768888615.5162895,0.8,0.0,0.404,1.0,0.306,0.392,0.24502282896598435,happy (0.37),{}
1768888615.5412896,0.8,0.0,0.406,1.0,0.307,0.375,0.24023340044394384,happy (0.37),{}
1768888615.5682917,0.8,0.0,0.411,1.0,0.305,0.392,0.24618092777101924,happy (0.37),{}
1768888615.6388931,0.8,0.0,0.407,1.0,0.296,0.379,0.2419766407394782,happy (0.36),{}
1768888615.6664088,0.8,0.0,0.402,1.0,0.305,0.373,0.24036157080481618,happy (0.37),{}
1768888615.7322514,0.8,0.0,0.404,1.0,0.295,0.384,0.24723975095420045,happy (0.35),{}
1768888615.7643692,0.8,0.0,0.403,1.0,0.291,0.375,0.24294451863026778,happy (0.35),{}
1768888615.7904394,0.8,0.0,0.399,1.0,0.303,0.39,0.24278289598836544,happy (0.36),{}
1768888615.8151367,0.8,0.0,0.404,1.0,0.296,0.381,0.24637095838051504,happy (0.36),{}
1768888615.836136,0.8,0.0,0.401,1.0,0.301,0.388,0.2461889159817524,happy (0.36),{}
1768888615.8578048,0.8,0.0,0.4,1.0,0.324,0.417,0.25144104038170373,happy (0.39),{}
1768888615.8934727,0.8,0.0,0.404,1.0,0.336,0.443,0.253594173034007,happy (0.40),{}
1768888615.924487,0.8,0.0,0.383,1.0,0.356,0.528,0.26996756640947783,happy (0.43),"{'au23_lip_compression': {'intensity': 0.528, 'duration_frames': 1, 'onset_frame': 14}}"
1768888615.9572983,0.8,0.0,0.375,1.0,0.375,0.643,0.29338630644183655,happy (0.45),"{'au23_lip_compression': {'intensity': 0.643, 'duration_frames': 2, 'onset_frame': 13}}"
