session_id,timestamp,focus_score,symmetry_score,au4_frown,au12_smile,au6_cheek_raise,au7_eye_squeeze,au9_nose_wrinkle,au15_mouth_down,au23_lip_compression,au25_mouth_open,blink_rate_per_min,eye_closed_sec,psychological_signals,micro_expressions,emotion_vector,dominant_emotion,confidence,tension_level
20260120_154954,1768895397.0096245,0.8,0.989,0.317,1.0,0.339,-0.357,0.779,0.005,0.681,0.217,0.0,0.0,"{'tension_score': 0.298, 'tension_level': 'low', 'tension_sources': {'brow_furrow': 0.317, 'lip_compression': 0.681, 'eye_closure': 0.0, 'expression_instability': 0}}",{},"{'happy': 0.0, 'sadness': 0.0, 'anger': 0.0, 'fear': 0.0, 'surprise': 0.0, 'disgust': 0.0, 'contempt': 0.0, 'anxiety': 1.0, 'fatigue': 0.0, 'polite_smile': 0.0, 'distress': 0.0}",anxiety,1.0,low
20260120_154954,1768895397.0403163,0.8,0.987,0.389,1.0,0.385,-0.312,0.782,0.006,0.681,0.228,0.0,0.0,"{'tension_score': 0.312, 'tension_level': 'medium', 'tension_sources': {'brow_furrow': 0.389, 'lip_compression': 0.681, 'eye_closure': 0.0, 'expression_instability': 0.0}}",{},"{'happy': 0.0, 'sadness': 0.0, 'anger': 0.0, 'fear': 0.0, 'surprise': 0.0, 'disgust': 0.0, 'contempt': 0.0, 'anxiety': 1.0, 'fatigue': 0.0, 'polite_smile': 0.0, 'distress': 0.0}",anxiety,1.0,medium
20260120_154954,1768895397.0740912,0.8,0.989,0.391,1.0,0.391,-0.284,0.78,0.006,0.689,0.222,0.0,0.0,"{'tension_score': 0.312, 'tension_level': 'medium', 'tension_sources': {'brow_furrow': 0.391, 'lip_compression': 0.689, 'eye_closure': 0.0, 'expression_instability': 0.0}}",{},"{'happy': 0.0, 'sadness': 0.0, 'anger': 0.0, 'fear': 0.0, 'surprise': 0.0, 'disgust': 0.0, 'contempt': 0.0, 'anxiety': 1.0, 'fatigue': 0.0, 'polite_smile': 0.0, 'distress': 0.0}",anxiety,1.0,medium
20260120_154954,1768895397.103275,0.8,0.988,0.393,1.0,0.397,-0.316,0.779,0.006,0.703,0.208,0.0,0.0,"{'tension_score': 0.309, 'tension_level': 'medium', 'tension_sources': {'brow_furrow': 0.393, 'lip_compression': 0.703, 'eye_closure': 0.0, 'expression_instability': 0.0}}",{},"{'happy': 0.0, 'sadness': 0.0, 'anger': 0.0, 'fear': 0.0, 'surprise': 0.0, 'disgust': 0.0, 'contempt': 0.0, 'anxiety': 1.0, 'fatigue': 0.0, 'polite_smile': 0.0, 'distress': 0.0}",anxiety,1.0,medium
20260120_154954,1768895397.1424236,0.8,0.986,0.38,1.0,0.39,-0.318,0.782,0.005,0.705,0.204,0.0,0.0,"{'tension_score': 0.312, 'tension_level': 'medium', 'tension_sources': {'brow_furrow': 0.38, 'lip_compression': 0.705, 'eye_closure': 0.0, 'expression_instability': 0.0}}",{},"{'happy': 0.0, 'sadness': 0.0, 'anger': 0.0, 'fear': 0.0, 'surprise': 0.0, 'disgust': 0.0, 'contempt': 0.0, 'anxiety': 1.0, 'fatigue': 0.0, 'polite_smile': 0.0, 'distress': 0.0}",anxiety,1.0,medium
20260120_154954,1768895397.173447,0.8,0.984,0.398,1.0,0.389,-0.301,0.78,0.004,0.704,0.204,0.0,0.0,"{'tension_score': 0.32, 'tension_level': 'medium', 'tension_sources': {'brow_furrow': 0.398, 'lip_compression': 0.704, 'eye_closure': 0.0, 'expression_instability': 0.0}}",{},"{'happy': 0.0, 'sadness': 0.0, 'anger': 0.0, 'fear': 0.0, 'surprise': 0.0, 'disgust': 0.0, 'contempt': 0.0, 'anxiety': 1.0, 'fatigue': 0.0, 'polite_smile': 0.0, 'distress': 0.0}",anxiety,1.0,medium
20260120_154954,1768895397.2076144,0.8,0.983,0.389,1.0,0.394,-0.319,0.789,0.002,0.661,0.242,0.0,0.0,"{'tension_score': 0.308, 'tension_level': 'medium', 'tension_sources': {'brow_furrow': 0.389, 'lip_compression': 0.661, 'eye_closure': 0.0, 'expression_instability': 0.0}}",{},"{'happy': 0.0, 'sadness': 0.0, 'anger': 0.0, 'fear': 0.0, 'surprise': 0.0, 'disgust': 0.0, 'contempt': 0.0, 'anxiety': 1.0, 'fatigue': 0.0, 'polite_smile': 0.0, 'distress': 0.0}",anxiety,1.0,medium
20260120_154954,1768895397.2419279,0.8,0.982,0.397,1.0,0.394,-0.305,0.787,0.002,0.695,0.217,0.0,0.0,"{'tension_score': 0.324, 'tension_level': 'medium', 'tension_sources': {'brow_furrow': 0.397, 'lip_compression': 0.695, 'eye_closure': 0.0, 'expression_instability': 0.0}}",{},"{'happy': 0.0, 'sadness': 0.0, 'anger': 0.0, 'fear': 0.0, 'surprise': 0.0, 'disgust': 0.0, 'contempt': 0.0, 'anxiety': 1.0, 'fatigue': 0.0, 'polite_smile': 0.0, 'distress': 0.0}",anxiety,1.0,medium
20260120_154954,1768895397.2714303,0.8,0.981,0.405,1.0,0.397,-0.323,0.787,0.003,0.676,0.232,0.0,0.0,"{'tension_score': 0.317, 'tension_level': 'medium', 'tension_sources': {'brow_furrow': 0.405, 'lip_compression': 0.676, 'eye_closure': 0.0, 'expression_instability': 0.0}}",{},"{'happy': 0.0, 'sadness': 0.0, 'anger': 0.0, 'fear': 0.0, 'surprise': 0.0, 'disgust': 0.0, 'contempt': 0.0, 'anxiety': 1.0, 'fatigue': 0.0, 'polite_smile': 0.0, 'distress': 0.0}",anxiety,1.0,medium
20260120_154954,1768895397.3137531,0.8,0.982,0.384,1.0,0.405,-0.337,0.785,0.002,0.688,0.227,0.0,0.0,"{'tension_score': 0.312, 'tension_level': 'medium', 'tension_sources': {'brow_furrow': 0.384, 'lip_compression': 0.688, 'eye_closure': 0.0, 'expression_instability': 0.0}}",{},"{'happy': 0.0, 'sadness': 0.0, 'anger': 0.0, 'fear': 0.0, 'surprise': 0.0, 'disgust': 0.0, 'contempt': 0.0, 'anxiety': 1.0, 'fatigue': 0.0, 'polite_smile': 0.0, 'distress': 0.0}",anxiety,1.0,medium
20260120_154954,1768895397.3396516,0.8,0.981,0.377,1.0,0.407,-0.348,0.787,0.003,0.713,0.21,0.0,0.0,"{'tension_score': 0.313, 'tension_level': 'medium', 'tension_sources': {'brow_furrow': 0.377, 'lip_compression': 0.713, 'eye_closure': 0.0, 'expression_instability': 0.0}}",{},"{'happy': 0.0, 'sadness': 0.0, 'anger': 0.0, 'fear': 0.0, 'surprise': 0.0, 'disgust': 0.0, 'contempt': 0.0, 'anxiety': 1.0, 'fatigue': 0.0, 'polite_smile': 0.0, 'distress': 0.0}",anxiety,1.0,medium
20260120_154954,1768895397.364661,0.8,0.98,0.369,1.0,0.407,-0.363,0.782,0.002,0.718,0.203,0.0,0.0,"{'tension_score': 0.311, 'tension_level': 'medium', 'tension_sources': {'brow_furrow': 0.369, 'lip_compression': 0.718, 'eye_closure': 0.0, 'expression_instability': 0.0}}",{},"{'happy': 0.0, 'sadness': 0.0, 'anger': 0.0, 'fear': 0.0, 'surprise': 0.0, 'disgust': 0.0, 'contempt': 0.0, 'anxiety': 1.0, 'fatigue': 0.0, 'polite_smile': 0.0, 'distress': 0.0}",anxiety,1.0,medium
20260120_154954,1768895397.3991184,0.8,0.981,0.388,1.0,0.41,-0.333,0.784,0.002,0.696,0.22,0.0,0.0,"{'tension_score': 0.312, 'tension_level': 'medium', 'tension_sources': {'brow_furrow': 0.388, 'lip_compression': 0.696, 'eye_closure': 0.0, 'expression_instability': 0.0}}",{},"{'happy': 0.0, 'sadness': 0.0, 'anger': 0.0, 'fear': 0.0, 'surprise': 0.0, 'disgust': 0.0, 'contempt': 0.0, 'anxiety': 1.0, 'fatigue': 0.0, 'polite_smile': 0.0, 'distress': 0.0}",anxiety,1.0,medium
20260120_154954,1768895397.4272141,0.8,0.981,0.382,1.0,0.407,-0.344,0.782,0.003,0.735,0.191,0.0,0.0,"{'tension_score': 0.321, 'tension_level': 'medium', 'tension_sources': {'brow_furrow': 0.382, 'lip_compression': 0.735, 'eye_closure': 0.0, 'expression_instability': 0.0}}",{},"{'happy': 0.0, 'sadness': 0.0, 'anger': 0.0, 'fear': 0.0, 'surprise': 0.0, 'disgust': 0.0, 'contempt': 0.0, 'anxiety': 1.0, 'fatigue': 0.0, 'polite_smile': 0.0, 'distress': 0.0}",anxiety,1.0,medium
20260120_154954,1768895397.46534,0.8,0.983,0.383,1.0,0.412,-0.334,0.783,0.003,0.709,0.212,0.0,0.0,"{'tension_score': 0.315, 'tension_level': 'medium', 'tension_sources': {'brow_furrow': 0.383, 'lip_compression': 0.709, 'eye_closure': 0.0, 'expression_instability': 0.0}}",{},"{'happy': 0.0, 'sadness': 0.0, 'anger': 0.0, 'fear': 0.0, 'surprise': 0.0, 'disgust': 0.0, 'contempt': 0.0, 'anxiety': 1.0, 'fatigue': 0.0, 'polite_smile': 0.0, 'distress': 0.0}",anxiety,1.0,medium
20260120_154954,1768895397.4890916,0.8,0.986,0.382,1.0,0.428,-0.312,0.78,0.005,0.674,0.236,0.0,0.0,"{'tension_score': 0.304, 'tension_level': 'medium', 'tension_sources': {'brow_furrow': 0.382, 'lip_compression': 0.674, 'eye_closure': 0.0, 'expression_instability': 0.0}}",{},"{'happy': 0.0, 'sadness': 0.0, 'anger': 0.0, 'fear': 0.0, 'surprise': 0.0, 'disgust': 0.0, 'contempt': 0.0, 'anxiety': 1.0, 'fatigue': 0.0, 'polite_smile': 0.0, 'distress': 0.0}",anxiety,1.0,medium
20260120_154954,1768895397.5296955,0.8,0.986,0.384,1.0,0.435,-0.32,0.785,0.005,0.695,0.224,0.0,0.0,"{'tension_score': 0.308, 'tension_level': 'medium', 'tension_sources': {'brow_furrow': 0.384, 'lip_compression': 0.695, 'eye_closure': 0.0, 'expression_instability': 0.0}}",{},"{'happy': 0.0, 'sadness': 0.0, 'anger': 0.0, 'fear': 0.0, 'surprise': 0.0, 'disgust': 0.0, 'contempt': 0.0, 'anxiety': 1.0, 'fatigue': 0.0, 'polite_smile': 0.0, 'distress': 0.0}",anxiety,1.0,medium
20260120_154954,1768895397.5572042,0.8,0.987,0.404,1.0,0.441,-0.316,0.784,0.005,0.688,0.232,0.0,0.0,"{'tension_score': 0.311, 'tension_level': 'medium', 'tension_sources': {'brow_furrow': 0.404, 'lip_compression': 0.688, 'eye_closure': 0.0, 'expression_instability': 0.0}}",{},"{'happy': 0.0, 'sadness': 0.0, 'anger': 0.0, 'fear': 0.0, 'surprise': 0.0, 'disgust': 0.0, 'contempt': 0.0, 'anxiety': 1.0, 'fatigue': 0.0, 'polite_smile': 0.0, 'distress': 0.0}",anxiety,1.0,medium
20260120_154954,1768895397.5901656,0.8,0.985,0.401,1.0,0.42,-0.318,0.787,0.005,0.714,0.214,0.0,0.0,"{'tension_score': 0.314, 'tension_level': 'medium', 'tension_sources': {'brow_furrow': 0.401, 'lip_compression': 0.714, 'eye_closure': 0.0, 'expression_instability': 0.0}}",{},"{'happy': 0.0, 'sadness': 0.0, 'anger': 0.0, 'fear': 0.0, 'surprise': 0.0, 'disgust': 0.0, 'contempt': 0.0, 'anxiety': 1.0, 'fatigue': 0.0, 'polite_smile': 0.0, 'distress': 0.0}",anxiety,1.0,medium
20260120_154954,1768895397.643077,0.8,0.986,0.394,1.0,0.405,-0.323,0.789,0.004,0.732,0.204,0.0,0.0,"{'tension_score': 0.316, 'tension_level': 'medium', 'tension_sources': {'brow_furrow': 0.394, 'lip_compression': 0.732, 'eye_closure': 0.0, 'expression_instability': 0.0}}",{},"{'happy': 0.0, 'sadness': 0.0, 'anger': 0.0, 'fear': 0.0, 'surprise': 0.0, 'disgust': 0.0, 'contempt': 0.0, 'anxiety': 1.0, 'fatigue': 0.0, 'polite_smile': 0.0, 'distress': 0.0}",anxiety,1.0,medium
20260120_154954,1768895397.678895,0.8,0.987,0.399,1.0,0.415,-0.332,0.79,0.007,0.735,0.203,0.0,0.0,"{'tension_score': 0.323, 'tension_level': 'medium', 'tension_sources': {'brow_furrow': 0.399, 'lip_compression': 0.735, 'eye_closure': 0.0, 'expression_instability': 0.0}}",{},"{'happy': 0.0, 'sadness': 0.0, 'anger': 0.0, 'fear': 0.0, 'surprise': 0.0, 'disgust': 0.0, 'contempt': 0.0, 'anxiety': 1.0, 'fatigue': 0.0, 'polite_smile': 0.0, 'distress': 0.0}",anxiety,1.0,medium
