session_id,timestamp,focus_score,symmetry_score,au1_inner_brow_raise,au2_outer_brow_raise,au4_frown,au6_cheek_raise,au7_eye_squeeze,au9_nose_wrinkle,au10_upper_lip_raise,au12_smile,au14_dimpler,au15_mouth_down,au20_lip_stretcher,au23_lip_compression,au25_mouth_open,au26_jaw_drop,head_yaw,head_pitch,blink_rate_per_min,eye_closed_sec,psychological_signals,micro_expressions,emotion_vector,dominant_emotion,confidence,tension_level
20260120_164239,1768898560.276769,0.3,0.984,0.203,0.237,0.0,0.457,0.564,0.496,1.0,0.0,0.421,0.0,0.0,0.0,1.0,1.0,0.3,-1.0,0.0,0.0,"{'tension_score': 0.084, 'tension_level': 'low', 'tension_sources': {'brow_furrow': 0.0, 'lip_compression': 0.0, 'eye_closure': 0.0, 'expression_instability': 0, 'emotional_influence': 0.084}}",{},"{'happy': 0.0, 'sadness': 0.0, 'anger': 0.0, 'fear': 0.281, 'surprise': 0.281, 'disgust': 0.438, 'contempt': 0.0, 'anxiety': 0.0, 'fatigue': 0.0, 'polite_smile': 0.0, 'distress': 0.0}",disgust,0.438,low
20260120_164239,1768898560.3288,0.3,0.982,0.209,0.231,0.0,0.474,0.583,0.496,1.0,0.0,0.384,0.013,0.0,0.472,1.0,1.0,0.304,-1.0,0.0,0.0,"{'tension_score': 0.191, 'tension_level': 'low', 'tension_sources': {'brow_furrow': 0.0, 'lip_compression': 0.472, 'eye_closure': 0.0, 'expression_instability': 0.0, 'emotional_influence': 0.073}}",{},"{'happy': 0.0, 'sadness': 0.0, 'anger': 0.0, 'fear': 0.244, 'surprise': 0.244, 'disgust': 0.381, 'contempt': 0.0, 'anxiety': 0.131, 'fatigue': 0.0, 'polite_smile': 0.0, 'distress': 0.0}",disgust,0.381,low
20260120_164239,1768898560.3503606,0.3,0.981,0.197,0.226,0.0,0.477,0.58,0.496,1.0,0.0,0.396,0.007,0.0,0.504,1.0,1.0,0.303,-1.0,0.0,0.0,"{'tension_score': 0.197, 'tension_level': 'low', 'tension_sources': {'brow_furrow': 0.0, 'lip_compression': 0.504, 'eye_closure': 0.0, 'expression_instability': 0.0, 'emotional_influence': 0.071}}",{},"{'happy': 0.0, 'sadness': 0.0, 'anger': 0.0, 'fear': 0.237, 'surprise': 0.237, 'disgust': 0.374, 'contempt': 0.0, 'anxiety': 0.153, 'fatigue': 0.0, 'polite_smile': 0.0, 'distress': 0.0}",disgust,0.374,low
20260120_164239,1768898560.3712423,0.3,0.981,0.202,0.229,0.0,0.478,0.586,0.497,1.0,0.0,0.367,0.015,0.0,0.492,1.0,1.0,0.31,-1.0,0.0,0.0,"{'tension_score': 0.195, 'tension_level': 'low', 'tension_sources': {'brow_furrow': 0.0, 'lip_compression': 0.492, 'eye_closure': 0.0, 'expression_instability': 0.0, 'emotional_influence': 0.072}}",{},"{'happy': 0.0, 'sadness': 0.0, 'anger': 0.0, 'fear': 0.24, 'surprise': 0.24, 'disgust': 0.376, 'contempt': 0.0, 'anxiety': 0.144, 'fatigue': 0.0, 'polite_smile': 0.0, 'distress': 0.0}",disgust,0.376,low
20260120_164239,1768898560.3949473,0.3,0.981,0.198,0.22,0.0,0.477,0.57,0.496,1.0,0.0,0.362,0.006,0.0,0.339,1.0,1.0,0.306,-1.0,0.0,0.0,"{'tension_score': 0.166, 'tension_level': 'low', 'tension_sources': {'brow_furrow': 0.0, 'lip_compression': 0.339, 'eye_closure': 0.0, 'expression_instability': 0.0, 'emotional_influence': 0.081}}",{},"{'happy': 0.0, 'sadness': 0.0, 'anger': 0.0, 'fear': 0.27, 'surprise': 0.27, 'disgust': 0.427, 'contempt': 0.0, 'anxiety': 0.033, 'fatigue': 0.0, 'polite_smile': 0.0, 'distress': 0.0}",disgust,0.427,low
20260120_164239,1768898560.4133427,0.3,0.982,0.201,0.234,0.0,0.473,0.584,0.495,1.0,0.0,0.37,0.0,0.0,0.212,1.0,1.0,0.305,-1.0,0.0,0.0,"{'tension_score': 0.137, 'tension_level': 'low', 'tension_sources': {'brow_furrow': 0.0, 'lip_compression': 0.212, 'eye_closure': 0.0, 'expression_instability': 0.0, 'emotional_influence': 0.084}}",{},"{'happy': 0.0, 'sadness': 0.0, 'anger': 0.0, 'fear': 0.281, 'surprise': 0.281, 'disgust': 0.439, 'contempt': 0.0, 'anxiety': 0.0, 'fatigue': 0.0, 'polite_smile': 0.0, 'distress': 0.0}",disgust,0.439,low
20260120_164239,1768898560.4364758,0.3,0.983,0.195,0.229,0.0,0.483,0.58,0.496,1.0,0.0,0.347,0.011,0.0,0.412,1.0,1.0,0.308,-1.0,0.0,0.0,"{'tension_score': 0.179, 'tension_level': 'low', 'tension_sources': {'brow_furrow': 0.0, 'lip_compression': 0.412, 'eye_closure': 0.0, 'expression_instability': 0.0, 'emotional_influence': 0.076}}",{},"{'happy': 0.0, 'sadness': 0.0, 'anger': 0.0, 'fear': 0.254, 'surprise': 0.254, 'disgust': 0.401, 'contempt': 0.0, 'anxiety': 0.09, 'fatigue': 0.0, 'polite_smile': 0.0, 'distress': 0.0}",disgust,0.401,low
20260120_164239,1768898560.4624856,0.3,0.981,0.196,0.23,0.0,0.475,0.582,0.496,1.0,0.0,0.356,0.008,0.0,0.374,1.0,1.0,0.304,-1.0,0.0,0.0,"{'tension_score': 0.172, 'tension_level': 'low', 'tension_sources': {'brow_furrow': 0.0, 'lip_compression': 0.374, 'eye_closure': 0.0, 'expression_instability': 0.0, 'emotional_influence': 0.079}}",{},"{'happy': 0.0, 'sadness': 0.0, 'anger': 0.0, 'fear': 0.263, 'surprise': 0.263, 'disgust': 0.413, 'contempt': 0.0, 'anxiety': 0.061, 'fatigue': 0.0, 'polite_smile': 0.0, 'distress': 0.0}",disgust,0.413,low
20260120_164239,1768898560.4838262,0.3,0.983,0.198,0.239,0.0,0.464,0.596,0.495,1.0,0.0,0.33,0.01,0.0,0.224,1.0,1.0,0.302,-1.0,0.0,0.0,"{'tension_score': 0.14, 'tension_level': 'low', 'tension_sources': {'brow_furrow': 0.0, 'lip_compression': 0.224, 'eye_closure': 0.0, 'expression_instability': 0.0, 'emotional_influence': 0.084}}",{},"{'happy': 0.0, 'sadness': 0.0, 'anger': 0.0, 'fear': 0.281, 'surprise': 0.281, 'disgust': 0.438, 'contempt': 0.0, 'anxiety': 0.0, 'fatigue': 0.0, 'polite_smile': 0.0, 'distress': 0.0}",disgust,0.438,low
20260120_164239,1768898560.5064843,0.3,0.981,0.199,0.238,0.0,0.461,0.579,0.495,1.0,0.0,0.373,0.015,0.0,0.363,1.0,1.0,0.306,-1.0,0.0,0.0,"{'tension_score': 0.171, 'tension_level': 'low', 'tension_sources': {'brow_furrow': 0.0, 'lip_compression': 0.363, 'eye_closure': 0.0, 'expression_instability': 0.0, 'emotional_influence': 0.08}}",{},"{'happy': 0.0, 'sadness': 0.0, 'anger': 0.0, 'fear': 0.266, 'surprise': 0.266, 'disgust': 0.415, 'contempt': 0.0, 'anxiety': 0.053, 'fatigue': 0.0, 'polite_smile': 0.0, 'distress': 0.0}",disgust,0.415,low
20260120_164239,1768898560.5441828,0.3,0.979,0.197,0.236,0.0,0.463,0.561,0.495,1.0,0.0,0.363,0.012,0.0,0.549,1.0,1.0,0.308,-1.0,0.0,0.0,"{'tension_score': 0.206, 'tension_level': 'low', 'tension_sources': {'brow_furrow': 0.0, 'lip_compression': 0.549, 'eye_closure': 0.0, 'expression_instability': 0.0, 'emotional_influence': 0.069}}",{},"{'happy': 0.0, 'sadness': 0.0, 'anger': 0.0, 'fear': 0.23, 'surprise': 0.23, 'disgust': 0.36, 'contempt': 0.0, 'anxiety': 0.18, 'fatigue': 0.0, 'polite_smile': 0.0, 'distress': 0.0}",disgust,0.36,low
