session_id,timestamp,focus_score,symmetry_score,au1_inner_brow_raise,au2_outer_brow_raise,au4_frown,au6_cheek_raise,au7_eye_squeeze,au9_nose_wrinkle,au10_upper_lip_raise,au12_smile,au14_dimpler,au15_mouth_down,au20_lip_stretcher,au23_lip_compression,au25_mouth_open,au26_jaw_drop,head_yaw,head_pitch,blink_rate_per_min,eye_closed_sec,psychological_signals,micro_expressions,emotion_vector,dominant_emotion,confidence,tension_level,left_iris_x,left_iris_y,right_iris_x,right_iris_y,gaze_direction_x,gaze_direction_y,gaze_deviation
20260123_174823,1769161704.5309093,0.3,0.989,0.277,0.33,0.124,0.436,0.521,0.492,0.0,0.0,0.645,0.0,0.0,0.002,0.0,0.0,0.274,-0.999,0.0,0.0,"{'tension_score': 0.338, 'tension_level': 'medium', 'tension_sources': {'brow_furrow': 0.124, 'lip_compression': 0.002, 'eye_closure': 0.0, 'expression_instability': 0, 'emotional_influence': 0.3}}",{},"{'happy': 0.0, 'sadness': 0.0, 'anger': 0.0, 'fear': 0.0, 'surprise': 0.0, 'disgust': 0.0, 'contempt': 0.0, 'anxiety': 1.0, 'fatigue': 0.0, 'polite_smile': 0.0, 'distress': 0.0, 'forced_smile': 0.0, 'startled_anxiety': 0.0, 'cognitive_load': 0.0, 'moral_disgust': 0.0}",anxiety,1.0,medium,0.477,0.533,0.58,0.539,-0.012,-0.642,0.642
20260123_174823,1769161704.6439242,0.3,0.987,0.247,0.29,0.086,0.444,0.583,0.493,0.016,0.0,0.638,0.0,0.0,0.506,0.0,0.0,0.272,-0.999,0.0,0.0,"{'tension_score': 0.452, 'tension_level': 'medium', 'tension_sources': {'brow_furrow': 0.086, 'lip_compression': 0.506, 'eye_closure': 0.0, 'expression_instability': 0.0, 'emotional_influence': 0.3}}",{},"{'happy': 0.0, 'sadness': 0.0, 'anger': 0.0, 'fear': 0.0, 'surprise': 0.0, 'disgust': 0.0, 'contempt': 0.0, 'anxiety': 1.0, 'fatigue': 0.0, 'polite_smile': 0.0, 'distress': 0.0, 'forced_smile': 0.0, 'startled_anxiety': 0.0, 'cognitive_load': 0.0, 'moral_disgust': 0.0}",anxiety,1.0,medium,0.476,0.529,0.58,0.534,-0.01,-0.617,0.617
20260123_174823,1769161704.6701264,0.3,0.989,0.25,0.295,0.095,0.44,0.561,0.494,0.0,0.0,0.742,0.0,0.0,0.0,0.0,0.075,0.277,-0.999,0.0,0.0,"{'tension_score': 0.028, 'tension_level': 'low', 'tension_sources': {'brow_furrow': 0.095, 'lip_compression': 0.0, 'eye_closure': 0.0, 'expression_instability': 0.0, 'emotional_influence': 0.0}}",{},"{'happy': 0.0, 'sadness': 0.0, 'anger': 0.0, 'fear': 0.0, 'surprise': 0.0, 'disgust': 0.0, 'contempt': 0.0, 'anxiety': 0.0, 'fatigue': 0.0, 'polite_smile': 0.0, 'distress': 0.0, 'forced_smile': 0.0, 'startled_anxiety': 0.0, 'cognitive_load': 0.0, 'moral_disgust': 0.0, 'neutral': 1.0}",neutral,1.0,low,0.475,0.53,0.581,0.535,-0.016,-0.62,0.62
20260123_174823,1769161704.694282,0.3,0.99,0.246,0.288,0.076,0.445,0.548,0.493,0.001,0.0,0.734,0.0,0.0,0.0,0.0,0.089,0.271,-0.999,0.0,0.0,"{'tension_score': 0.023, 'tension_level': 'low', 'tension_sources': {'brow_furrow': 0.076, 'lip_compression': 0.0, 'eye_closure': 0.0, 'expression_instability': 0.0, 'emotional_influence': 0.0}}",{},"{'happy': 0.0, 'sadness': 0.0, 'anger': 0.0, 'fear': 0.0, 'surprise': 0.0, 'disgust': 0.0, 'contempt': 0.0, 'anxiety': 0.0, 'fatigue': 0.0, 'polite_smile': 0.0, 'distress': 0.0, 'forced_smile': 0.0, 'startled_anxiety': 0.0, 'cognitive_load': 0.0, 'moral_disgust': 0.0, 'neutral': 1.0}",neutral,1.0,low,0.475,0.531,0.581,0.534,-0.008,-0.618,0.618
20260123_174823,1769161704.7202032,0.3,0.992,0.249,0.293,0.082,0.43,0.557,0.492,0.0,0.0,0.722,0.0,0.0,0.0,0.0,0.024,0.269,-0.999,0.0,0.0,"{'tension_score': 0.025, 'tension_level': 'low', 'tension_sources': {'brow_furrow': 0.082, 'lip_compression': 0.0, 'eye_closure': 0.0, 'expression_instability': 0.0, 'emotional_influence': 0.0}}",{},"{'happy': 0.0, 'sadness': 0.0, 'anger': 0.0, 'fear': 0.0, 'surprise': 0.0, 'disgust': 0.0, 'contempt': 0.0, 'anxiety': 0.0, 'fatigue': 0.0, 'polite_smile': 0.0, 'distress': 0.0, 'forced_smile': 0.0, 'startled_anxiety': 0.0, 'cognitive_load': 0.0, 'moral_disgust': 0.0, 'neutral': 1.0}",neutral,1.0,low,0.474,0.531,0.581,0.534,-0.01,-0.636,0.636
20260123_174823,1769161704.7549794,0.3,0.991,0.246,0.289,0.085,0.432,0.553,0.492,0.0,0.005,0.716,0.003,0.005,0.001,0.0,0.0,0.272,-0.999,0.0,0.0,"{'tension_score': 0.026, 'tension_level': 'low', 'tension_sources': {'brow_furrow': 0.085, 'lip_compression': 0.001, 'eye_closure': 0.0, 'expression_instability': 0.002, 'emotional_influence': 0.0}}",{},"{'happy': 0.0, 'sadness': 0.0, 'anger': 0.0, 'fear': 0.0, 'surprise': 0.0, 'disgust': 0.0, 'contempt': 0.0, 'anxiety': 0.0, 'fatigue': 0.0, 'polite_smile': 0.0, 'distress': 0.0, 'forced_smile': 0.0, 'startled_anxiety': 0.0, 'cognitive_load': 0.0, 'moral_disgust': 0.0, 'neutral': 1.0}",neutral,1.0,low,0.474,0.532,0.581,0.536,-0.014,-0.634,0.634
20260123_174823,1769161704.78363,0.3,0.992,0.241,0.283,0.088,0.436,0.528,0.492,0.0,0.0,0.714,0.007,0.0,0.0,0.0,0.0,0.269,-0.999,0.0,0.0,"{'tension_score': 0.027, 'tension_level': 'low', 'tension_sources': {'brow_furrow': 0.088, 'lip_compression': 0.0, 'eye_closure': 0.0, 'expression_instability': 0.002, 'emotional_influence': 0.0}}",{},"{'happy': 0.0, 'sadness': 0.0, 'anger': 0.0, 'fear': 0.0, 'surprise': 0.0, 'disgust': 0.0, 'contempt': 0.0, 'anxiety': 0.0, 'fatigue': 0.0, 'polite_smile': 0.0, 'distress': 0.0, 'forced_smile': 0.0, 'startled_anxiety': 0.0, 'cognitive_load': 0.0, 'moral_disgust': 0.0, 'neutral': 1.0}",neutral,1.0,low,0.475,0.534,0.581,0.536,-0.011,-0.636,0.636
20260123_174823,1769161704.8045847,0.3,0.99,0.246,0.294,0.101,0.432,0.541,0.491,0.0,0.003,0.703,0.01,0.003,0.0,0.0,0.009,0.27,-0.999,0.0,0.0,"{'tension_score': 0.331, 'tension_level': 'medium', 'tension_sources': {'brow_furrow': 0.101, 'lip_compression': 0.0, 'eye_closure': 0.0, 'expression_instability': 0.002, 'emotional_influence': 0.3}}",{},"{'happy': 0.0, 'sadness': 0.0, 'anger': 0.0, 'fear': 0.0, 'surprise': 0.0, 'disgust': 0.0, 'contempt': 0.0, 'anxiety': 1.0, 'fatigue': 0.0, 'polite_smile': 0.0, 'distress': 0.0, 'forced_smile': 0.0, 'startled_anxiety': 0.0, 'cognitive_load': 0.0, 'moral_disgust': 0.0}",anxiety,1.0,medium,0.475,0.534,0.582,0.536,-0.012,-0.646,0.646
20260123_174823,1769161704.8516357,0.3,0.993,0.248,0.291,0.08,0.431,0.552,0.492,0.0,0.0,0.699,0.012,0.0,0.215,0.0,0.0,0.265,-0.999,0.0,0.0,"{'tension_score': 0.378, 'tension_level': 'medium', 'tension_sources': {'brow_furrow': 0.08, 'lip_compression': 0.215, 'eye_closure': 0.0, 'expression_instability': 0.002, 'emotional_influence': 0.3}}",{},"{'happy': 0.0, 'sadness': 0.0, 'anger': 0.0, 'fear': 0.0, 'surprise': 0.0, 'disgust': 0.0, 'contempt': 0.0, 'anxiety': 1.0, 'fatigue': 0.0, 'polite_smile': 0.0, 'distress': 0.0, 'forced_smile': 0.0, 'startled_anxiety': 0.0, 'cognitive_load': 0.0, 'moral_disgust': 0.0}",anxiety,1.0,medium,0.475,0.534,0.581,0.536,-0.006,-0.639,0.639
20260123_174823,1769161704.8836765,0.3,0.991,0.25,0.3,0.101,0.428,0.555,0.492,0.0,0.005,0.68,0.011,0.005,0.0,0.0,0.003,0.273,-0.999,0.0,0.0,"{'tension_score': 0.331, 'tension_level': 'medium', 'tension_sources': {'brow_furrow': 0.101, 'lip_compression': 0.0, 'eye_closure': 0.0, 'expression_instability': 0.002, 'emotional_influence': 0.3}}",{},"{'happy': 0.0, 'sadness': 0.0, 'anger': 0.0, 'fear': 0.0, 'surprise': 0.0, 'disgust': 0.0, 'contempt': 0.0, 'anxiety': 1.0, 'fatigue': 0.0, 'polite_smile': 0.0, 'distress': 0.0, 'forced_smile': 0.0, 'startled_anxiety': 0.0, 'cognitive_load': 0.0, 'moral_disgust': 0.0}",anxiety,1.0,medium,0.475,0.534,0.582,0.537,-0.015,-0.646,0.646
