timestamp,timestamp_iso,left_hand_score,right_hand_score,shoulder_score,overall_score,emotion_state,feedback,used_features,is_valid
1768729947.559489,2026-01-18T17:52:27.559489,50.0,50.0,70.0,70.0,放松,你看起来很放松，状态很棒！,shoulder,True
1768729947.598081,2026-01-18T17:52:27.598081,50.0,50.0,70.0,70.0,放松,你看起来很放松，状态很棒！,shoulder,True
1768729947.637147,2026-01-18T17:52:27.637147,50.0,50.0,70.0,70.0,放松,你看起来很放松，状态很棒！,shoulder,True
1768729947.687681,2026-01-18T17:52:27.687681,50.0,50.0,70.0,70.0,放松,你看起来很放松，状态很棒！,shoulder,True
1768729947.745043,2026-01-18T17:52:27.745043,50.0,50.0,70.0,70.0,放松,你看起来很放松，状态很棒！,shoulder,True
1768729947.797804,2026-01-18T17:52:27.797804,50.0,50.0,70.0,70.0,放松,你看起来很放松，状态很棒！,shoulder,True
1768729947.840378,2026-01-18T17:52:27.840378,50.0,50.0,70.0,70.0,放松,你看起来很放松，状态很棒！,shoulder,True
1768729947.886911,2026-01-18T17:52:27.886911,50.0,50.0,70.0,70.0,放松,你看起来很放松，状态很棒！,shoulder,True
1768729947.932601,2026-01-18T17:52:27.932601,50.0,50.0,70.0,70.0,放松,你看起来很放松，状态很棒！,shoulder,True
1768729947.983852,2026-01-18T17:52:27.983852,50.0,50.0,41.38861246148129,41.38861246148129,轻微紧张,注意放松手部和肩膀，深呼吸～,shoulder,True
1768729948.026808,2026-01-18T17:52:28.026808,50.0,50.0,41.9344461184138,41.9344461184138,轻微紧张,注意放松手部和肩膀，深呼吸～,shoulder,True
1768729948.073254,2026-01-18T17:52:28.073254,50.0,50.0,41.99347679153584,41.99347679153584,轻微紧张,注意放松手部和肩膀，深呼吸～,shoulder,True
1768729948.123794,2026-01-18T17:52:28.123794,50.0,50.0,42.400098628409395,42.400098628409395,轻微紧张,注意放松手部和肩膀，深呼吸～,shoulder,True
1768729948.169615,2026-01-18T17:52:28.169615,50.0,50.0,42.72808300910716,42.72808300910716,轻微紧张,注意放松手部和肩膀，深呼吸～,shoulder,True
1768729948.219656,2026-01-18T17:52:28.219656,50.0,50.0,42.99591035306035,42.99591035306035,轻微紧张,注意放松手部和肩膀，深呼吸～,shoulder,True
1768729948.267762,2026-01-18T17:52:28.267762,50.0,50.0,43.31646582231092,43.31646582231092,轻微紧张,注意放松手部和肩膀，深呼吸～,shoulder,True
1768729948.307531,2026-01-18T17:52:28.307531,50.0,50.0,43.46960750414996,43.46960750414996,轻微紧张,注意放松手部和肩膀，深呼吸～,shoulder,True
1768729948.353625,2026-01-18T17:52:28.353625,50.0,50.0,43.3178216728342,43.3178216728342,轻微紧张,注意放松手部和肩膀，深呼吸～,shoulder,True
1768729948.401755,2026-01-18T17:52:28.401755,50.0,50.0,43.16481057972641,43.16481057972641,轻微紧张,注意放松手部和肩膀，深呼吸～,shoulder,True
1768729948.451365,2026-01-18T17:52:28.451365,50.0,50.0,42.73774849729264,42.73774849729264,轻微紧张,注意放松手部和肩膀，深呼吸～,shoulder,True
1768729948.493979,2026-01-18T17:52:28.493979,50.0,50.0,41.4680838962846,41.4680838962846,轻微紧张,注意放松手部和肩膀，深呼吸～,shoulder,True
1768729948.548877,2026-01-18T17:52:28.548877,50.0,50.0,37.71314313499775,37.71314313499775,轻微紧张,注意放松手部和肩膀，深呼吸～,shoulder,True
1768729948.594406,2026-01-18T17:52:28.594406,50.0,50.0,33.21384168077255,33.21384168077255,紧张,你可能处于紧张或焦虑状态，建议暂停休息,shoulder,True
1768729948.635437,2026-01-18T17:52:28.635437,50.0,50.0,29.985204358571735,29.985204358571735,紧张,你可能处于紧张或焦虑状态，建议暂停休息,shoulder,True
1768729948.699836,2026-01-18T17:52:28.699836,50.0,50.0,27.905600966523785,27.905600966523785,紧张,你可能处于紧张或焦虑状态，建议暂停休息,shoulder,True
1768729948.745915,2026-01-18T17:52:28.745915,50.0,50.0,26.09805222964438,26.09805222964438,紧张,你可能处于紧张或焦虑状态，建议暂停休息,shoulder,True
1768729948.794518,2026-01-18T17:52:28.794518,50.0,50.0,24.28256509935745,24.28256509935745,紧张,你可能处于紧张或焦虑状态，建议暂停休息,shoulder,True
1768729948.842955,2026-01-18T17:52:28.842955,50.0,50.0,22.425148419443047,22.425148419443047,紧张,你可能处于紧张或焦虑状态，建议暂停休息,shoulder,True
1768729948.884658,2026-01-18T17:52:28.884658,50.0,50.0,20.89302715359331,20.89302715359331,紧张,你可能处于紧张或焦虑状态，建议暂停休息,shoulder,True
1768729948.934204,2026-01-18T17:52:28.934204,50.0,50.0,19.832302977495033,19.832302977495033,高度焦虑,你可能处于紧张或焦虑状态，建议暂停休息,shoulder,True
1768729948.982899,2026-01-18T17:52:28.982899,50.0,50.0,13.295588208270418,13.295588208270418,高度焦虑,你可能处于紧张或焦虑状态，建议暂停休息,shoulder,True
1768729949.033187,2026-01-18T17:52:29.033187,50.0,50.0,12.518540047567791,12.518540047567791,高度焦虑,你可能处于紧张或焦虑状态，建议暂停休息,shoulder,True
1768729949.072723,2026-01-18T17:52:29.072723,50.0,50.0,11.457263483261046,11.457263483261046,高度焦虑,你可能处于紧张或焦虑状态，建议暂停休息,shoulder,True
1768729949.134107,2026-01-18T17:52:29.134107,50.0,50.0,10.546565180987118,10.546565180987118,高度焦虑,你可能处于紧张或焦虑状态，建议暂停休息,shoulder,True
1768729949.18101,2026-01-18T17:52:29.181010,50.0,50.0,9.37922694896581,9.37922694896581,高度焦虑,你可能处于紧张或焦虑状态，建议暂停休息,shoulder,True
1768729949.233128,2026-01-18T17:52:29.233128,50.0,50.0,8.636937215458575,8.636937215458575,高度焦虑,你可能处于紧张或焦虑状态，建议暂停休息,shoulder,True
1768729949.279548,2026-01-18T17:52:29.279548,50.0,50.0,8.583651963545536,8.583651963545536,高度焦虑,你可能处于紧张或焦虑状态，建议暂停休息,shoulder,True
1768729949.321195,2026-01-18T17:52:29.321195,50.0,50.0,8.821170504227299,8.821170504227299,高度焦虑,你可能处于紧张或焦虑状态，建议暂停休息,shoulder,True
1768729949.374362,2026-01-18T17:52:29.374362,50.0,50.0,8.830905542404873,8.830905542404873,高度焦虑,你可能处于紧张或焦虑状态，建议暂停休息,shoulder,True
1768729949.414641,2026-01-18T17:52:29.414641,50.0,50.0,9.207527387234899,9.207527387234899,高度焦虑,你可能处于紧张或焦虑状态，建议暂停休息,shoulder,True
1768729949.463759,2026-01-18T17:52:29.463759,50.0,50.0,10.017145040454297,10.017145040454297,高度焦虑,你可能处于紧张或焦虑状态，建议暂停休息,shoulder,True
1768729949.510269,2026-01-18T17:52:29.510269,50.0,50.0,11.957157674310745,11.957157674310745,高度焦虑,你可能处于紧张或焦虑状态，建议暂停休息,shoulder,True
1768729949.570918,2026-01-18T17:52:29.570918,50.0,50.0,13.41437678024935,13.41437678024935,高度焦虑,你可能处于紧张或焦虑状态，建议暂停休息,shoulder,True
1768729949.620642,2026-01-18T17:52:29.620642,50.0,50.0,15.601231439399387,15.601231439399387,高度焦虑,你可能处于紧张或焦虑状态，建议暂停休息,shoulder,True
1768729949.671868,2026-01-18T17:52:29.671868,50.0,50.0,15.44504901058872,15.44504901058872,高度焦虑,你可能处于紧张或焦虑状态，建议暂停休息,shoulder,True
1768729949.720305,2026-01-18T17:52:29.720305,50.0,50.0,17.588287045614337,17.588287045614337,高度焦虑,你可能处于紧张或焦虑状态，建议暂停休息,shoulder,True
1768729949.757896,2026-01-18T17:52:29.757896,50.0,50.0,20.149356601928297,20.149356601928297,紧张,你可能处于紧张或焦虑状态，建议暂停休息,shoulder,True
1768729949.814066,2026-01-18T17:52:29.814066,50.0,50.0,23.363955644311517,23.363955644311517,紧张,你可能处于紧张或焦虑状态，建议暂停休息,shoulder,True
1768729949.853721,2026-01-18T17:52:29.853721,50.0,50.0,26.848301894770785,26.848301894770785,紧张,你可能处于紧张或焦虑状态，建议暂停休息,shoulder,True
1768729949.899981,2026-01-18T17:52:29.899981,50.0,50.0,29.950261691960065,29.950261691960065,紧张,你可能处于紧张或焦虑状态，建议暂停休息,shoulder,True
1768729949.947763,2026-01-18T17:52:29.947763,50.0,50.0,33.187656591845546,33.187656591845546,紧张,你可能处于紧张或焦虑状态，建议暂停休息,shoulder,True
1768729949.999068,2026-01-18T17:52:29.999068,50.0,50.0,34.46451014658703,34.46451014658703,紧张,你可能处于紧张或焦虑状态，建议暂停休息,shoulder,True
1768729950.044682,2026-01-18T17:52:30.044682,50.0,50.0,36.452630317056936,36.452630317056936,轻微紧张,注意放松手部和肩膀，深呼吸～,shoulder,True
1768729950.091256,2026-01-18T17:52:30.091256,50.0,50.0,38.41061651112948,38.41061651112948,轻微紧张,注意放松手部和肩膀，深呼吸～,shoulder,True
1768729950.144943,2026-01-18T17:52:30.144943,50.0,50.0,39.43679268713069,39.43679268713069,轻微紧张,注意放松手部和肩膀，深呼吸～,shoulder,True
1768729950.219135,2026-01-18T17:52:30.219135,50.0,50.0,39.28050135706546,39.28050135706546,轻微紧张,注意放松手部和肩膀，深呼吸～,shoulder,True
1768729950.26674,2026-01-18T17:52:30.266740,50.0,50.0,38.070201082463605,38.070201082463605,轻微紧张,注意放松手部和肩膀，深呼吸～,shoulder,True
1768729950.306976,2026-01-18T17:52:30.306976,50.0,50.0,37.51810186806822,37.51810186806822,轻微紧张,注意放松手部和肩膀，深呼吸～,shoulder,True
1768729950.355608,2026-01-18T17:52:30.355608,50.0,50.0,37.774387816626195,37.774387816626195,轻微紧张,注意放松手部和肩膀，深呼吸～,shoulder,True
1768729950.409614,2026-01-18T17:52:30.409614,50.0,50.0,38.482768545121424,38.482768545121424,轻微紧张,注意放松手部和肩膀，深呼吸～,shoulder,True
1768729950.465099,2026-01-18T17:52:30.465099,50.0,50.0,38.53673440049547,38.53673440049547,轻微紧张,注意放松手部和肩膀，深呼吸～,shoulder,True
1768729950.507655,2026-01-18T17:52:30.507655,50.0,50.0,38.588352263386675,38.588352263386675,轻微紧张,注意放松手部和肩膀，深呼吸～,shoulder,True
1768729950.55932,2026-01-18T17:52:30.559320,50.0,50.0,38.691274263226425,38.691274263226425,轻微紧张,注意放松手部和肩膀，深呼吸～,shoulder,True
1768729950.606805,2026-01-18T17:52:30.606805,50.0,50.0,39.44145384542039,39.44145384542039,轻微紧张,注意放松手部和肩膀，深呼吸～,shoulder,True
1768729950.680521,2026-01-18T17:52:30.680521,50.0,50.0,39.485352210886866,39.485352210886866,轻微紧张,注意放松手部和肩膀，深呼吸～,shoulder,True
1768729950.729221,2026-01-18T17:52:30.729221,50.0,50.0,40.443963159619464,40.443963159619464,轻微紧张,注意放松手部和肩膀，深呼吸～,shoulder,True
1768729950.771324,2026-01-18T17:52:30.771324,50.0,50.0,41.194995951262705,41.194995951262705,轻微紧张,注意放松手部和肩膀，深呼吸～,shoulder,True
1768729950.820805,2026-01-18T17:52:30.820805,50.0,50.0,42.280386304876124,42.280386304876124,轻微紧张,注意放松手部和肩膀，深呼吸～,shoulder,True
1768729950.869409,2026-01-18T17:52:30.869409,50.0,50.0,42.99843789720578,42.99843789720578,轻微紧张,注意放松手部和肩膀，深呼吸～,shoulder,True
1768729950.91432,2026-01-18T17:52:30.914320,50.0,50.0,45.26791952734955,45.26791952734955,轻微紧张,注意放松手部和肩膀，深呼吸～,shoulder,True
1768729950.961981,2026-01-18T17:52:30.961981,50.0,50.0,46.0517726763634,46.0517726763634,轻微紧张,注意放松手部和肩膀，深呼吸～,shoulder,True
1768729951.008528,2026-01-18T17:52:31.008528,50.0,50.0,47.101434559424845,47.101434559424845,轻微紧张,注意放松手部和肩膀，深呼吸～,shoulder,True
1768729951.056592,2026-01-18T17:52:31.056592,50.0,50.0,47.87327991362332,47.87327991362332,轻微紧张,注意放松手部和肩膀，深呼吸～,shoulder,True
1768729951.100998,2026-01-18T17:52:31.100998,50.0,50.0,48.24028227780339,48.24028227780339,轻微紧张,注意放松手部和肩膀，深呼吸～,shoulder,True
1768729951.136492,2026-01-18T17:52:31.136492,50.0,50.0,48.14743195642129,48.14743195642129,轻微紧张,注意放松手部和肩膀，深呼吸～,shoulder,True
1768729951.179819,2026-01-18T17:52:31.179819,50.0,50.0,48.01356898603985,48.01356898603985,轻微紧张,注意放松手部和肩膀，深呼吸～,shoulder,True
1768729951.216507,2026-01-18T17:52:31.216507,50.0,50.0,47.64456951005623,47.64456951005623,轻微紧张,注意放松手部和肩膀，深呼吸～,shoulder,True
1768729951.251908,2026-01-18T17:52:31.251908,50.0,50.0,46.73231023031958,46.73231023031958,轻微紧张,注意放松手部和肩膀，深呼吸～,shoulder,True
1768729951.309792,2026-01-18T17:52:31.309792,50.0,50.0,46.85408524737073,46.85408524737073,轻微紧张,注意放松手部和肩膀，深呼吸～,shoulder,True
1768729951.34734,2026-01-18T17:52:31.347340,50.0,50.0,46.90262033469206,46.90262033469206,轻微紧张,注意放松手部和肩膀，深呼吸～,shoulder,True
1768729951.383886,2026-01-18T17:52:31.383886,50.0,50.0,47.0909373118536,47.0909373118536,轻微紧张,注意放松手部和肩膀，深呼吸～,shoulder,True
1768729951.420485,2026-01-18T17:52:31.420485,50.0,50.0,47.44759499601957,47.44759499601957,轻微紧张,注意放松手部和肩膀，深呼吸～,shoulder,True
1768729951.456527,2026-01-18T17:52:31.456527,50.0,50.0,47.37141263718523,47.37141263718523,轻微紧张,注意放松手部和肩膀，深呼吸～,shoulder,True
1768729951.500041,2026-01-18T17:52:31.500041,50.0,50.0,48.38489234519134,48.38489234519134,轻微紧张,注意放松手部和肩膀，深呼吸～,shoulder,True
1768729951.537926,2026-01-18T17:52:31.537926,50.0,50.0,48.2928199341649,48.2928199341649,轻微紧张,注意放松手部和肩膀，深呼吸～,shoulder,True
1768729951.584732,2026-01-18T17:52:31.584732,50.0,50.0,48.3688232132787,48.3688232132787,轻微紧张,注意放松手部和肩膀，深呼吸～,shoulder,True
1768729951.619861,2026-01-18T17:52:31.619861,50.0,50.0,48.923179482914435,48.923179482914435,轻微紧张,注意放松手部和肩膀，深呼吸～,shoulder,True
1768729951.66868,2026-01-18T17:52:31.668680,50.0,50.0,49.58466702654301,49.58466702654301,轻微紧张,注意放松手部和肩膀，深呼吸～,shoulder,True
1768729951.710759,2026-01-18T17:52:31.710759,50.0,50.0,50.19539649220986,50.19539649220986,中性,状态平稳，保持自然呼吸,shoulder,True
1768729951.759154,2026-01-18T17:52:31.759154,50.0,50.0,50.597221635053515,50.597221635053515,中性,状态平稳，保持自然呼吸,shoulder,True
1768729951.794804,2026-01-18T17:52:31.794804,50.0,50.0,50.95414315381134,50.95414315381134,中性,状态平稳，保持自然呼吸,shoulder,True
1768729951.83296,2026-01-18T17:52:31.832960,50.0,50.0,50.97261018891624,50.97261018891624,中性,状态平稳，保持自然呼吸,shoulder,True
1768729951.886777,2026-01-18T17:52:31.886777,50.0,50.0,51.086662748600475,51.086662748600475,中性,状态平稳，保持自然呼吸,shoulder,True
1768729951.933882,2026-01-18T17:52:31.933882,50.0,50.0,51.28145281935159,51.28145281935159,中性,状态平稳，保持自然呼吸,shoulder,True
1768729951.972904,2026-01-18T17:52:31.972904,50.0,50.0,51.385590766556774,51.385590766556774,中性,状态平稳，保持自然呼吸,shoulder,True
1768729952.029764,2026-01-18T17:52:32.029764,50.0,50.0,51.31630249303053,51.31630249303053,中性,状态平稳，保持自然呼吸,shoulder,True
1768729952.930307,2026-01-18T17:52:32.930307,50.0,50.0,52.955822140291716,52.955822140291716,中性,状态平稳，保持自然呼吸,shoulder,True
1768729952.980729,2026-01-18T17:52:32.980729,50.0,50.0,53.49840840847704,53.49840840847704,中性,状态平稳，保持自然呼吸,shoulder,True
1768729953.01676,2026-01-18T17:52:33.016760,50.0,50.0,53.68452107267957,53.68452107267957,中性,状态平稳，保持自然呼吸,shoulder,True
1768729953.053808,2026-01-18T17:52:33.053808,50.0,50.0,52.99977915635305,52.99977915635305,中性,状态平稳，保持自然呼吸,shoulder,True
1768729953.107324,2026-01-18T17:52:33.107324,50.0,50.0,52.99209639847157,52.99209639847157,中性,状态平稳，保持自然呼吸,shoulder,True
1768729953.15344,2026-01-18T17:52:33.153440,50.0,50.0,52.39126377466052,52.39126377466052,中性,状态平稳，保持自然呼吸,shoulder,True
1768729953.19089,2026-01-18T17:52:33.190890,50.0,50.0,51.8573786069477,51.8573786069477,中性,状态平稳，保持自然呼吸,shoulder,True
