modality,column,kind,note,in_group_b,obs_min,obs_max,observed_ones
face,au10_upper_lip_raise,level,水平量:只出 mean,1,0,0.825,0
face,au12_smile,level,水平量:只出 mean,1,0,0.917,0
face,au14_dimpler,level,水平量:只出 mean,1,0.214,1,8565
face,au15_mouth_down,level,水平量:只出 mean,1,0,1,29
face,au1_inner_brow_raise,level,水平量:只出 mean,1,0,0.451,0
face,au23_lip_compression,level,水平量:只出 mean,1,0,1,1
face,au25_mouth_open,level,水平量:只出 mean,1,0,1,701
face,au26_jaw_drop,level,水平量:只出 mean,1,0,1,4670
face,au2_outer_brow_raise,level,水平量:只出 mean,1,0,0.711,0
face,au4_frown,level,水平量:只出 mean,1,0,0.64,0
face,au6_cheek_raise,level,水平量:只出 mean,1,0,0.704,0
face,au7_eye_squeeze,level,水平量:只出 mean,1,0,0.905,0
face,au9_nose_wrinkle,level,水平量:只出 mean,1,0.28,0.5,0
face,avg_ear,level,水平量:只出 mean,1,0.095,1,1
face,emotion_anxiety,level,水平量:只出 mean,1,0,1,6565
face,emotion_disgust,level,水平量:只出 mean,1,0,1,642
face,emotion_fatigue,level,水平量:只出 mean,1,0,1,129
face,emotion_fear,level,水平量:只出 mean,1,0,0.5,0
face,emotion_forced_smile,level,水平量:只出 mean,1,0,0.418,0
face,emotion_happy,level,水平量:只出 mean,1,0,1,1510
face,emotion_surprise,level,水平量:只出 mean,1,0,1,4154
face,focus_score,level,水平量:只出 mean,1,0.3,0.8,0
face,gaze_deviation,level,水平量:只出 mean,1,0.136,1.664,2
face,gaze_direction_x,level,水平量:只出 mean,1,-0.229,0.63,0
face,gaze_direction_y,level,水平量:只出 mean,1,-1.664,-0.133,0
face,head_pitch,level,水平量:只出 mean,1,-1,-0.887,0
face,head_yaw,level,水平量:只出 mean,1,-0.406,0.516,0
face,left_iris_x,level,水平量:只出 mean,1,0.098,0.747,0
face,left_iris_y,level,水平量:只出 mean,1,0.128,0.764,0
face,micro_exp_duration_frames,frames,"单位为采样帧,聚合前先换算成秒",1,2,8,0
face,micro_exp_intensity,level,水平量:只出 mean,1,0.1,1,24
face,right_iris_x,level,水平量:只出 mean,1,0.258,0.843,0
face,right_iris_y,level,水平量:只出 mean,1,0.128,0.771,0
face,symmetry_score,level,水平量:只出 mean,1,0.866,1,121
face,tension_score,level,水平量:只出 mean,1,0.103,1,1
gesture,left_arm_arm_angle,level,水平量:只出 mean,1,0,180,0
gesture,left_arm_elbow_jitter,level,水平量:只出 mean,1,0,0.193,0
gesture,left_arm_wrist_jitter,level,水平量:只出 mean,1,0,0.2986,0
gesture,right_arm_arm_angle,level,水平量:只出 mean,1,0,180,0
gesture,right_arm_elbow_jitter,level,水平量:只出 mean,1,0,0.1651,0
gesture,right_arm_wrist_jitter,level,水平量:只出 mean,1,0,0.3063,0
gesture,shoulder_left_jitter,level,水平量:只出 mean,1,0,0.05451,0
gesture,shoulder_right_jitter,level,水平量:只出 mean,1,0,0.06066,0
gesture,upper_body_head_jitter,level,水平量:只出 mean,1,0,0.06863,0
gesture,upper_body_torso_jitter,level,水平量:只出 mean,1,0,0.04751,0
voice,energy_mean,level,水平量:只出 mean,1,0.0005,0.1907,0
voice,energy_std,level,水平量:只出 mean,1,0.0001,0.1517,0
voice,pause_duration_max,level,水平量:只出 mean,1,0,6.91,0
voice,pause_duration_mean,level,水平量:只出 mean,1,0,2.3,1
voice,pause_frequency,level,水平量:只出 mean,1,0,95.54,0
voice,pitch_mean,level,水平量:只出 mean,1,0,474.5,0
voice,pitch_std,level,水平量:只出 mean,1,0,577,0
voice,pitch_trend,level,水平量:只出 mean,1,-954.4,163.5,0
