video_id,duration_sec,duration_source,n_face_frames,n_gesture_frames,face_detection_rate,too_short_for_rate
vid_0001,43.467,frames/fps,435,435,1.0000,0
vid_0002,14.067,frames/fps,141,141,1.0000,0
vid_0003,21.400,frames/fps,214,214,1.0000,0
vid_0004,39.333,frames/fps,394,394,1.0000,0
vid_0005,57.800,frames/fps,578,578,1.0000,0
vid_0006,29.967,frames/fps,300,300,1.0000,0
vid_0007,22.533,frames/fps,226,226,1.0000,0
vid_0008,12.533,frames/fps,126,126,1.0000,0
vid_0009,28.267,frames/fps,283,283,1.0000,0
vid_0010,25.633,frames/fps,257,257,1.0000,0
vid_0011,60.500,frames/fps,605,605,1.0000,0
vid_0012,17.733,frames/fps,178,178,1.0000,0
vid_0013,29.967,frames/fps,300,300,1.0000,0
vid_0014,2.500,frames/fps,25,25,1.0000,0
vid_0015,15.533,frames/fps,156,156,1.0000,0
vid_0016,52.767,frames/fps,528,528,1.0000,0
vid_0017,26.133,frames/fps,262,262,1.0000,0
vid_0018,17.333,frames/fps,174,174,1.0000,0
vid_0019,50.300,frames/fps,503,503,1.0000,0
vid_0020,27.533,frames/fps,276,276,1.0000,0
vid_0021,34.167,frames/fps,342,342,1.0000,0
vid_0022,92.333,frames/fps,924,924,1.0000,0
vid_0023,21.767,frames/fps,218,218,1.0000,0
vid_0024,2.667,frames/fps,27,27,1.0000,0
vid_0025,23.033,frames/fps,231,231,1.0000,0
vid_0026,58.433,frames/fps,585,585,1.0000,0
vid_0027,54.467,frames/fps,545,545,1.0000,0
vid_0028,11.467,frames/fps,115,115,1.0000,0
vid_0029,11.467,frames/fps,115,115,1.0000,0
vid_0030,58.633,frames/fps,587,587,1.0000,0
vid_0031,33.400,frames/fps,334,334,1.0000,0
vid_0032,0.633,frames/fps,7,7,1.0000,1
vid_0033,50.267,frames/fps,503,503,1.0000,0
vid_0034,51.267,frames/fps,513,513,1.0000,0
vid_0035,15.600,frames/fps,156,156,1.0000,0
vid_0036,41.100,frames/fps,411,411,1.0000,0
vid_0037,11.700,frames/fps,117,117,1.0000,0
vid_0038,56.767,frames/fps,568,568,1.0000,0
vid_0039,59.800,frames/fps,598,598,1.0000,0
vid_0040,6.100,frames/fps,61,61,1.0000,0
vid_0041,42.200,frames/fps,422,422,1.0000,0
vid_0042,60.500,frames/fps,605,605,1.0000,0
vid_0043,40.633,frames/fps,407,407,1.0000,0
vid_0044,31.467,frames/fps,315,315,1.0000,0
vid_0045,11.833,frames/fps,119,119,1.0000,0
vid_0046,3.100,frames/fps,31,31,1.0000,0
vid_0047,19.333,frames/fps,194,194,1.0000,0
vid_0048,16.600,frames/fps,166,166,1.0000,0
vid_0049,38.467,frames/fps,385,385,1.0000,0
vid_0050,51.333,frames/fps,514,514,1.0000,0
vid_0051,17.667,frames/fps,177,177,1.0000,0
vid_0052,19.867,frames/fps,199,199,1.0000,0
vid_0053,15.833,frames/fps,159,159,1.0000,0
vid_0054,2.500,frames/fps,25,25,1.0000,0
vid_0055,17.500,frames/fps,175,175,1.0000,0
vid_0056,23.633,frames/fps,237,237,1.0000,0
vid_0057,56.767,frames/fps,568,568,1.0000,0
vid_0058,22.567,frames/fps,226,226,1.0000,0
vid_0059,32.000,frames/fps,320,320,1.0000,0
vid_0060,49.900,frames/fps,499,499,1.0000,0
vid_0061,50.433,frames/fps,505,505,1.0000,0
vid_0062,12.533,frames/fps,126,126,1.0000,0
vid_0063,23.200,frames/fps,232,232,1.0000,0
vid_0064,50.067,frames/fps,501,501,1.0000,0
vid_0065,51.267,frames/fps,513,513,1.0000,0
vid_0066,9.133,frames/fps,92,92,1.0000,0
vid_0067,44.567,frames/fps,446,446,1.0000,0
vid_0068,17.700,frames/fps,177,177,1.0000,0
vid_0069,50.567,frames/fps,506,506,1.0000,0
vid_0070,60.533,frames/fps,606,606,1.0000,0
vid_0071,9.600,frames/fps,96,96,1.0000,0
vid_0072,11.200,frames/fps,112,112,1.0000,0
vid_0073,50.567,frames/fps,506,506,1.0000,0
vid_0074,17.767,frames/fps,178,178,1.0000,0
vid_0075,41.133,frames/fps,412,412,1.0000,0
vid_0076,34.100,frames/fps,341,341,1.0000,0
vid_0077,24.933,frames/fps,250,250,1.0000,0
vid_0078,25.700,frames/fps,257,257,1.0000,0
vid_0079,43.200,frames/fps,432,432,1.0000,0
vid_0080,8.467,frames/fps,85,85,1.0000,0
vid_0081,41.067,frames/fps,411,411,1.0000,0
vid_0082,9.133,frames/fps,92,92,1.0000,0
vid_0083,14.300,frames/fps,143,143,1.0000,0
vid_0084,53.900,frames/fps,539,539,1.0000,0
vid_0085,12.100,frames/fps,121,121,1.0000,0
vid_0086,7.367,frames/fps,74,74,1.0000,0
vid_0087,14.033,frames/fps,141,141,1.0000,0
vid_0088,39.133,frames/fps,392,392,1.0000,0
vid_0089,58.267,frames/fps,583,583,1.0000,0
vid_0090,13.567,frames/fps,136,136,1.0000,0
vid_0091,15.367,frames/fps,154,154,1.0000,0
vid_0092,38.467,frames/fps,385,385,1.0000,0
vid_0093,40.600,frames/fps,406,406,1.0000,0
vid_0094,12.400,frames/fps,124,124,1.0000,0
vid_0095,21.667,frames/fps,217,217,1.0000,0
vid_0096,26.300,frames/fps,263,263,1.0000,0
vid_0097,14.067,frames/fps,141,141,1.0000,0
vid_0098,26.967,frames/fps,270,270,1.0000,0
vid_0099,13.933,frames/fps,140,140,1.0000,0
vid_0100,55.567,frames/fps,556,556,1.0000,0
vid_0101,41.000,frames/fps,410,410,1.0000,0
vid_0102,60.533,frames/fps,606,606,1.0000,0
vid_0103,60.533,frames/fps,606,606,1.0000,0
vid_0104,30.033,frames/fps,301,301,1.0000,0
vid_0105,7.500,frames/fps,75,75,1.0000,0
vid_0106,12.600,frames/fps,126,126,1.0000,0
vid_0107,27.900,frames/fps,279,279,1.0000,0
vid_0108,60.533,frames/fps,606,606,1.0000,0
vid_0109,48.800,frames/fps,488,488,1.0000,0
vid_0110,18.133,frames/fps,182,182,1.0000,0
vid_0111,24.433,frames/fps,245,245,1.0000,0
vid_0112,14.200,frames/fps,142,142,1.0000,0
vid_0113,60.533,frames/fps,606,606,1.0000,0
vid_0114,16.533,frames/fps,166,166,1.0000,0
vid_0115,24.267,frames/fps,243,243,1.0000,0
vid_0116,8.800,frames/fps,88,88,1.0000,0
vid_0117,31.833,frames/fps,319,319,1.0000,0
vid_0118,11.867,frames/fps,119,119,1.0000,0
vid_0119,24.367,frames/fps,244,244,1.0000,0
vid_0120,12.633,frames/fps,127,127,1.0000,0
vid_0121,6.100,frames/fps,61,61,1.0000,0
vid_0122,45.100,frames/fps,451,451,1.0000,0
vid_0123,4.433,frames/fps,45,45,1.0000,0
vid_0124,8.833,frames/fps,89,89,1.0000,0
vid_0125,12.633,frames/fps,127,127,1.0000,0
vid_0126,24.833,frames/fps,249,249,1.0000,0
vid_0127,4.467,frames/fps,45,45,1.0000,0
vid_0128,5.900,frames/fps,56,59,1.0000,0
vid_0129,8.433,frames/fps,85,85,1.0000,0
vid_0130,13.100,frames/fps,131,131,1.0000,0
vid_0131,21.300,frames/fps,213,213,1.0000,0
vid_0132,26.100,frames/fps,261,261,1.0000,0
vid_0133,43.300,frames/fps,433,433,1.0000,0
